t,time,next_erupt_time,wait_time_minutes
2007-04-01 1:42,2007-04-01T01:42:00Z,2007-04-01T00:12:00Z,90
2007-04-01 3:18,2007-04-01T03:18:00Z,2007-04-01T01:42:00Z,96
2007-04-01 4:48,2007-04-01T04:48:00Z,2007-04-01T03:18:00Z,90
2007-04-01 6:12,2007-04-01T06:12:00Z,2007-04-01T04:48:00Z,84
2007-04-01 7:42,2007-04-01T07:42:00Z,2007-04-01T06:12:00Z,90
2007-04-01 9:18,2007-04-01T09:18:00Z,2007-04-01T07:42:00Z,96
2007-04-01 10:54,2007-04-01T10:54:00Z,2007-04-01T09:18:00Z,96
2007-04-01 12:18,2007-04-01T12:18:00Z,2007-04-01T10:54:00Z,84
2007-04-01 13:24,2007-04-01T13:24:00Z,2007-04-01T12:18:00Z,66
2007-04-01 15:06,2007-04-01T15:06:00Z,2007-04-01T13:24:00Z,102
2007-04-01 16:30,2007-04-01T16:30:00Z,2007-04-01T15:06:00Z,84
2007-04-01 18:00,2007-04-01T18:00:00Z,2007-04-01T16:30:00Z,90
2007-04-01 19:42,2007-04-01T19:42:00Z,2007-04-01T18:00:00Z,102
2007-04-01 21:06,2007-04-01T21:06:00Z,2007-04-01T19:42:00Z,84
2007-04-01 22:36,2007-04-01T22:36:00Z,2007-04-01T21:06:00Z,90
2007-04-02 0:18,2007-04-02T00:18:00Z,2007-04-01T22:36:00Z,102
2007-04-02 1:36,2007-04-02T01:36:00Z,2007-04-02T00:18:00Z,78
2007-04-02 3:06,2007-04-02T03:06:00Z,2007-04-02T01:36:00Z,90
2007-04-02 4:30,2007-04-02T04:30:00Z,2007-04-02T03:06:00Z,84
2007-04-02 6:00,2007-04-02T06:00:00Z,2007-04-02T04:30:00Z,90
2007-04-02 7:36,2007-04-02T07:36:00Z,2007-04-02T06:00:00Z,96
2007-04-02 10:42,2007-04-02T10:42:00Z,2007-04-02T07:36:00Z,186
2007-04-02 13:54,2007-04-02T13:54:00Z,2007-04-02T10:42:00Z,192
2007-04-02 15:42,2007-04-02T15:42:00Z,2007-04-02T13:54:00Z,108
2007-04-02 17:00,2007-04-02T17:00:00Z,2007-04-02T15:42:00Z,78
2007-04-02 18:36,2007-04-02T18:36:00Z,2007-04-02T17:00:00Z,96
2007-04-02 20:12,2007-04-02T20:12:00Z,2007-04-02T18:36:00Z,96
2007-04-02 21:42,2007-04-02T21:42:00Z,2007-04-02T20:12:00Z,90
2007-04-02 23:06,2007-04-02T23:06:00Z,2007-04-02T21:42:00Z,84
2007-04-03 0:36,2007-04-03T00:36:00Z,2007-04-02T23:06:00Z,90
2007-04-03 2:06,2007-04-03T02:06:00Z,2007-04-03T00:36:00Z,90
2007-04-03 3:36,2007-04-03T03:36:00Z,2007-04-03T02:06:00Z,90
2007-04-03 5:24,2007-04-03T05:24:00Z,2007-04-03T03:36:00Z,108
2007-04-03 6:54,2007-04-03T06:54:00Z,2007-04-03T05:24:00Z,90
2007-04-03 8:30,2007-04-03T08:30:00Z,2007-04-03T06:54:00Z,96
2007-04-03 10:12,2007-04-03T10:12:00Z,2007-04-03T08:30:00Z,102
2007-04-03 11:36,2007-04-03T11:36:00Z,2007-04-03T10:12:00Z,84
2007-04-03 13:06,2007-04-03T13:06:00Z,2007-04-03T11:36:00Z,90
2007-04-03 14:42,2007-04-03T14:42:00Z,2007-04-03T13:06:00Z,96
2007-04-03 16:06,2007-04-03T16:06:00Z,2007-04-03T14:42:00Z,84
2007-04-03 17:42,2007-04-03T17:42:00Z,2007-04-03T16:06:00Z,96
2007-04-03 19:12,2007-04-03T19:12:00Z,2007-04-03T17:42:00Z,90
2007-04-03 20:36,2007-04-03T20:36:00Z,2007-04-03T19:12:00Z,84
2007-04-03 22:06,2007-04-03T22:06:00Z,2007-04-03T20:36:00Z,90
2007-04-03 23:48,2007-04-03T23:48:00Z,2007-04-03T22:06:00Z,102
2007-04-04 1:18,2007-04-04T01:18:00Z,2007-04-03T23:48:00Z,90
2007-04-04 2:54,2007-04-04T02:54:00Z,2007-04-04T01:18:00Z,96
2007-04-04 4:18,2007-04-04T04:18:00Z,2007-04-04T02:54:00Z,84
2007-04-04 5:54,2007-04-04T05:54:00Z,2007-04-04T04:18:00Z,96
2007-04-04 7:12,2007-04-04T07:12:00Z,2007-04-04T05:54:00Z,78
2007-04-04 8:54,2007-04-04T08:54:00Z,2007-04-04T07:12:00Z,102
2007-04-04 10:12,2007-04-04T10:12:00Z,2007-04-04T08:54:00Z,78
2007-04-04 12:00,2007-04-04T12:00:00Z,2007-04-04T10:12:00Z,108
2007-04-04 13:18,2007-04-04T13:18:00Z,2007-04-04T12:00:00Z,78
2007-04-04 14:54,2007-04-04T14:54:00Z,2007-04-04T13:18:00Z,96
2007-04-04 16:24,2007-04-04T16:24:00Z,2007-04-04T14:54:00Z,90
2007-04-04 18:06,2007-04-04T18:06:00Z,2007-04-04T16:24:00Z,102
2007-04-04 19:36,2007-04-04T19:36:00Z,2007-04-04T18:06:00Z,90
2007-04-04 21:06,2007-04-04T21:06:00Z,2007-04-04T19:36:00Z,90
2007-04-04 22:42,2007-04-04T22:42:00Z,2007-04-04T21:06:00Z,96
2007-04-05 0:12,2007-04-05T00:12:00Z,2007-04-04T22:42:00Z,90
2007-04-05 1:18,2007-04-05T01:18:00Z,2007-04-05T00:12:00Z,66
2007-04-05 2:54,2007-04-05T02:54:00Z,2007-04-05T01:18:00Z,96
2007-04-05 4:12,2007-04-05T04:12:00Z,2007-04-05T02:54:00Z,78
2007-04-05 5:54,2007-04-05T05:54:00Z,2007-04-05T04:12:00Z,102
2007-04-05 7:12,2007-04-05T07:12:00Z,2007-04-05T05:54:00Z,78
2007-04-05 8:36,2007-04-05T08:36:00Z,2007-04-05T07:12:00Z,84
2007-04-05 10:00,2007-04-05T10:00:00Z,2007-04-05T08:36:00Z,84
2007-04-05 11:42,2007-04-05T11:42:00Z,2007-04-05T10:00:00Z,102
2007-04-05 13:06,2007-04-05T13:06:00Z,2007-04-05T11:42:00Z,84
2007-04-05 14:36,2007-04-05T14:36:00Z,2007-04-05T13:06:00Z,90
2007-04-05 16:00,2007-04-05T16:00:00Z,2007-04-05T14:36:00Z,84
2007-04-05 17:36,2007-04-05T17:36:00Z,2007-04-05T16:00:00Z,96
2007-04-05 18:48,2007-04-05T18:48:00Z,2007-04-05T17:36:00Z,72
2007-04-05 20:36,2007-04-05T20:36:00Z,2007-04-05T18:48:00Z,108
2007-04-05 21:54,2007-04-05T21:54:00Z,2007-04-05T20:36:00Z,78
2007-04-05 23:42,2007-04-05T23:42:00Z,2007-04-05T21:54:00Z,108
2007-04-06 1:06,2007-04-06T01:06:00Z,2007-04-05T23:42:00Z,84
2007-04-06 2:42,2007-04-06T02:42:00Z,2007-04-06T01:06:00Z,96
2007-04-06 3:48,2007-04-06T03:48:00Z,2007-04-06T02:42:00Z,66
2007-04-06 5:24,2007-04-06T05:24:00Z,2007-04-06T03:48:00Z,96
2007-04-06 6:42,2007-04-06T06:42:00Z,2007-04-06T05:24:00Z,78
2007-04-06 8:06,2007-04-06T08:06:00Z,2007-04-06T06:42:00Z,84
2007-04-06 9:42,2007-04-06T09:42:00Z,2007-04-06T08:06:00Z,96
2007-04-06 11:06,2007-04-06T11:06:00Z,2007-04-06T09:42:00Z,84
2007-04-06 12:30,2007-04-06T12:30:00Z,2007-04-06T11:06:00Z,84
2007-04-06 14:00,2007-04-06T14:00:00Z,2007-04-06T12:30:00Z,90
2007-04-06 15:24,2007-04-06T15:24:00Z,2007-04-06T14:00:00Z,84
2007-04-06 16:54,2007-04-06T16:54:00Z,2007-04-06T15:24:00Z,90
2007-04-06 18:30,2007-04-06T18:30:00Z,2007-04-06T16:54:00Z,96
2007-04-06 20:06,2007-04-06T20:06:00Z,2007-04-06T18:30:00Z,96
2007-04-06 21:30,2007-04-06T21:30:00Z,2007-04-06T20:06:00Z,84
2007-04-06 22:36,2007-04-06T22:36:00Z,2007-04-06T21:30:00Z,66
2007-04-07 0:12,2007-04-07T00:12:00Z,2007-04-06T22:36:00Z,96
2007-04-07 1:48,2007-04-07T01:48:00Z,2007-04-07T00:12:00Z,96
2007-04-07 3:18,2007-04-07T03:18:00Z,2007-04-07T01:48:00Z,90
2007-04-07 4:42,2007-04-07T04:42:00Z,2007-04-07T03:18:00Z,84
2007-04-07 6:18,2007-04-07T06:18:00Z,2007-04-07T04:42:00Z,96
2007-04-07 7:42,2007-04-07T07:42:00Z,2007-04-07T06:18:00Z,84
2007-04-07 9:12,2007-04-07T09:12:00Z,2007-04-07T07:42:00Z,90
2007-04-07 10:48,2007-04-07T10:48:00Z,2007-04-07T09:12:00Z,96
2007-04-07 12:12,2007-04-07T12:12:00Z,2007-04-07T10:48:00Z,84
2007-04-07 13:36,2007-04-07T13:36:00Z,2007-04-07T12:12:00Z,84
2007-04-07 15:06,2007-04-07T15:06:00Z,2007-04-07T13:36:00Z,90
2007-04-07 16:36,2007-04-07T16:36:00Z,2007-04-07T15:06:00Z,90
2007-04-07 18:00,2007-04-07T18:00:00Z,2007-04-07T16:36:00Z,84
2007-04-07 19:30,2007-04-07T19:30:00Z,2007-04-07T18:00:00Z,90
2007-04-07 21:00,2007-04-07T21:00:00Z,2007-04-07T19:30:00Z,90
